name,country,Overall
Yi-Fan Wu (吳亦凡),Taiwan,608
Sergio Bulux,Guatemala,608
Max Hahnbück,Germany,608
Nikita Razzamazov (Никита Раззама́зов),Russia,608
Mark Ostrom,United Kingdom,608
Jolina Chen,Australia,608
Vladislav Shurshilin,Russia,607
Zixuan Liu (刘子瑄),China,607
Weijie Fang (方伟杰),China,607
Rowe Hessler,USA,607
Ilya Tsiareshka,Belarus,607
Angel Jesus Panebra Rodriguez,Peru,606
Liam Uno Timour-Silveira,Norway,606
Jan Riedl,Czech Republic,606
Waldemar Sundin,Sweden,606
Joey Mait,USA,605
Jacob Eoin Gipp,Canada,605
Angel Armando Jaime Sánchez,Mexico,605
Xinyu Li (李欣宇),China,605
Conan Mo,Australia,605
Egdar Castillo,Panama,605
Mauro Moises López,Spain,605
Alex Agranov,USA,604
Sam Spendla,United Kingdom,604
Clarence Kinsey G. Orozco,Philippines,604
Dhruv Arora,India,604
Laura Mellier,Switzerland,604
Liew Yee Voon (劉倚文),Malaysia,604
Leo Lindqvist,Sweden,604
Vianne Chang,Canada,603
Yezhen Han (韩业臻),China,603
Yurii Riabov (Юрій Рябов),Ukraine,603
Gael Augusto Lapeyre,Argentina,603
Pavel Yushkevich,Belarus,603
Alessio Giuliano,Switzerland,603
Rafik Sarwat Naeem Ragheb,Egypt,602
Yinhao Ding,Australia,602
Wojciech Barciaga,Poland,602
Alevio Hamizan Ersha,Indonesia,602
Przemysław Kruczek,Poland,601
Benjamin Tibbetts,USA,601
Timothy Loh,Australia,601
Mathieu Hudon,Canada,601
Takayuki Tanaka (田中隆喜),Japan,601
Lorenzo Layug,Philippines,601
Mihail Stoicescu,Romania,601
Timothy Townley,USA,601
Jacob Nobili,USA,600
Vojtěch Kundera,Czech Republic,600
Nicholas Daneshvari,USA,600
Sam Koch,USA,600
Wojciech Rogoziński,Poland,600
Fedor Abaev,Russia,600
Anders Berggren,Sweden,600
Lacey Dilworth,USA,600
Asher Kim-Magierek,USA,600
Dmitry Dobrjakov,Russia,600
Dylan Vaskevicius,Canada,599
Nathan Soria,USA,599
Angel Alexis Carrillo Ramirez,Mexico,599
Jami Viljanen,Finland,598
Nathan Dwyer,USA,598
Eder Olivencia Gonzalez,Spain,598
Reagan Li,Canada,598
Ekaterina Soboleva (Екатерина Соболева),Russia,597
Dana Yi,USA,597
Florian Truckenthanner,Austria,597
Minhyun Kim (김민현),Korea,597
Kent Thomson,Australia,597
James Holdsworth,Australia,597
Wuouran Liu (刘巫偶然),China,597
Teh Keng Foo (郑庆富),Malaysia,597
Mateusz Kotwica,Poland,596
Naglis Peciulis,Lithuania,596
Josh Bloch,USA,596
Dan Pastushkov,USA,596
Lucas Ichiro Yunomae,Brazil,596
William Klauer,USA,596
Alisher Soltan (Алишер Солтан),Kazakhstan,596
Agustín Bernasconi,Argentina,595
Kenneth Tran,Norway,595
Alyssa Bell,USA,595
Kailin Sun (孙凯霖),China,595
Sukesh Kumar,India,595
Andre Febriato Jonathan,Indonesia,595
Karina Ermakova (Карина Ермакова),Russia,595
Dias Murzalin (Диас Мурзалин),Kazakhstan,595
Thomas Sonnenberg Jarner,Denmark,594
Jonathan Truchot,USA,594
Naman Jain,India,594
Anunak Roy,India,594
Natanael Lundberg,Sweden,594
Adrián Martínez Macías,Spain,594
Mateusz Szwugier,Poland,594
Nathanael Morgan,USA,594
Shao-Yu Hu (胡紹宇),Taiwan,594
Ekaterina Shutenko,Russia,593
David Edwards,Australia,593
Jair Sosa,USA,593
Cyrus Wong Yuk Chi (黃昱誌),Hong Kong,593
Fabian Settelen,Switzerland,593
Daniel Gracia Ortiz,Spain,593
Shuto Ueno (上野柊斗),Japan,593
Samuel Hernandez Castro,Mexico,592
Philippe Virouleau,France,592
Sören Jaan Handschuch,Germany,592
Samuel Baird,USA,592
Junseop Kim (김준섭),Korea,592
Derek Kong,Canada,592
Nicolás Shwkyng Monroy,Colombia,592
Damián Campos,Argentina,592
Arnav Arora,India,592
Andreas Wagner,Austria,591
Benjamin Riske,Australia,591
Aaron Ariff,Malaysia,591
Roman Ponikarovskiy,Russia,591
Adrian Oon,Australia,591
James Gonsalves,India,591
Rick Hamburger,Netherlands,591
Marie Vincent,France,590
Andrew Karbusicky,USA,590
Zian Song (宋子安),China,590
Amir Husain,Kazakhstan,590
Anish Rajesh,India,590
Kaloyan Galabinov,Bulgaria,590
Jane Behrle,USA,590
Pietro Furbatto,Italy,590
Ethan Jan,USA,590
Yang Li (李扬),China,590
Shangtong Fu (傅上桐),China,590
Tamara Macadam,Australia,589
Urho Kinnunen,Finland,589
Mika Smulders,Netherlands,589
Jacob Joshi,Australia,589
Weikang Zheng (郑炜康),China,589
Tucker Chamberlain,USA,589
Maksym B. Tsymbaliuk (Максим Б. Цимбалюк),Ukraine,589
Max Chan,USA,589
Jonathan Tan Wei Xiat,Malaysia,589
Xiaobin Rui (芮晓彬),China,589
Acchyut Jolly,India,589
Rémi Esturoune,France,588
Robbie Villarica,Philippines,588
Eric Zhao,USA,588
Karol Piskorek,Poland,588
Zachary Miller,USA,588
Phạm Đức Phước,Vietnam,588
Vishal Mohanraju,India,588
Maksim Demchenko (Максим Демченко),Russia,588
Joel Ulin,Sweden,588
Matthew Dickman,USA,588
Nikolai Gomelchuk,Russia,588
Alex Maass,USA,588
Shrijan Pal,India,588
Gamaliel Jimenez Oropeza,Mexico,587
Andrey Panov (Андрей Панов),Russia,587
Kristian Holme,Norway,587
Govend Avgerinos Djangoi,Sweden,587
Davide Arnesano,Italy,587
Timothy Lawrance,South Africa,587
Cezary Mach,Poland,586
Saiyam Jain,India,586
Yoav Eynon,Australia,586
Stanley Nerkowski IV,USA,586
Jakob Fiechter,Austria,586
Nicos Ahlgrimm,Germany,586
Rafael Rodriguez Santana,Spain,586
Samuel Weber,USA,585
Christian Foyle,Australia,585
Ao Nogami (野上碧),Japan,585
Viljo Elo,Finland,585
Hua-Ting Lee (李華庭),Taiwan,585
Andrey Radaev (Андрей Радаев),Russia,585
Aquila Janoschka,Australia,585
Alexander Vujcich,New Zealand,584
Gerson Natanael,Indonesia,584
William Greninger,USA,584
Adam Ahmad,USA,584
